name	org	position	bio
Timo Aarnio	National Land Survey of Finland	none	"undefined"
Vladimir Agafonkin	Mapbox	Software Engineer	"Vladimir is an open source enthusiast and a software engineer at Mapbox. He created Leaflet, the most popular open source library for interactive maps, and maintains a few dozen more libraries with a focus on high-performance spatial algorithms. Aside from engineering, Vladimir is an avid musician, being the frontman of the Ukrainian progressive rock band Obiymy Doschu, and a father of twin girls."
Sarthak Agarwal	International Institute of Information Technology	Research Student	"undefined"
Andrea Aime	GeoSolutions	Technical Lead	"undefined"
Scott Almes	JHUAPL/APL	none	"Scott Almes currently works at Johns Hopkins University Applied Physics Lab as a software engineer specializing in remote sensing. Scott has spent the majority of his career working with LiDAR data and its derivatives, from actively controlling airborne sensors mid flight to post processing and dissemination of data products. Scott also moonlights as an instructor in the computer science department at the University of Maryland Baltimore County."
Matthew Amato	Cesium	Senior Software Architect	"Matt is a cofounder of the Cesium project and a senior software architect at Analytical Graphics, Inc (AGI). He is currently the technical lead for Cesium Composer, which makes it easy for users to upload, convert, and host terrain, models, and vector data and interactively create customized 3D mapping applications. He has a BS in Computer Science from Drexel University and over 17 years of professional coding experience."
Giuseppe Amatulli	Yale University	none	"undefined"
Luiz Claudio Andrade	Brazilian Army	Cartographic Engineer	"Cartographic Engineer graduated at the Military Institute of Technology (Brazil) in 2005 - Postgraduated in Systems Engineering at ESAB (Brazil) in 2011 - Postgraduated in Geoinformatics at ITC (Netherlands) in 2014 - Ongoing MSc in Geoprocessing at University of Brasília (Brazil)."
Claudia Arevalo Nieto	UPENN- UPCH Zoonotic Disease Research Center	Data Lab Coordinator	"undefined"
María Arias de Reyna	GeoCat BV	Software Engineer	"María Arias de Reyna, a Software Engineer at GeoCat, is one of the core developers of GeoNetwork, a free and open source catalog to manage spatially referenced resources under the OSGeo umbrella. María has been working with geospatial software for almost a decade: from fleet management to routing platforms and now metadata. She is a free (as in freedom) and open software evangelist and a very active member within several developer communities."
Patrick Arlt	Esri	Designer/Developer	"undefined"
Morten Aronsen	Norwegian Defence Research Establishment (FFI)	Senior scientist	"I was previously a Naval Officer now gone mad scientist. In addition to the Royal Norwegian Naval Academy, I have a MSc in Marine Technology Nautical Science. Programming skills are self taught and thus rough, but with operational use in mind. My main topic of work is Maritime Situational Awareness in all aspects."
Emily Ashley	Boundless	none	"undefined"
Yuri Astrakhan	Elastic & Wikipedia developer	Sr Software Engineer	"undefined"
Norman Barker	The Weather Company, and IBM Business	Senior Software Engineer	"Norman is a long term consumer and developer of open source technology, having made contributions to GeoMesa, CouchDB, libspatialindex, GDAL and others projects. His primary interest is in geospatial big data, in particular the indexing of this data to enable analytics.  He is currently a Senior Software Engineer at The Weather Company, an IBM business."
Richard Barnes	UC Berkeley	PhD Student	"Richard applies high-performance computational and mathematical techniques to better understand the complex interface of society and the environment. As part of this effort he has developed sensor devices, algorithms, and analyses to collect and understand high-resolution data sets involving terrain, hydrology, and animal movements. By advancing the state of the art in this area, he helps land-use planners to optimize their decisions at large spatial scales.

Richard serves as an Associate Editor of the journal Computers & Geosciences and welcomes discussions about potential articles for the journal.

He is currently pursuing a PhD with UC Berkeley's Energy & Resources group having previously obtained an MS in Ecology, a BS in Physics, and a BA in Philosophy from the University of Minnesota.

http://rbarnes.org"
Christopher Barnett	Tufts University	Sr. Geospatial Analyst	"undefined"
Todd Barr	Vantage-SE	none	"undefined"
Francesco Bartoli	Geobeyond Srl	Chief Technology Officer	"undefined"
Mauro Bartolomeoli	GeoSolutions Sas	Senior Engineer	"undefined"
Bob Basques	SharedGeo	none	"undefined"
Lucy Bastin	Joint Research Centre of the European Commission	none	"undefined"
Andrew Battista	New York University	none	"undefined"
Dennis Bauszus	GEOLYTIX	none	"undefined"
Kathleen Baynes	NASA Earth Science Data and Information Systems	Systems Architect	"undefined"
Penny Beames	McGill University	Masters Student	"undefined"
Worth Becker	Prominent Edge	Senior Cloud Engineer	"undefined"
Spencer Bell	Pennsylvania State University	none	"I am a student in the MGIS program at Penn State. My focus in this program has been web mapping and programming in R."
William Bell	Metro Commercial Real Estate	none	"undefined"
Dakota Benjamin	Cleveland Metroparks	none	"undefined"
Luis Bermudez	OGC	Executive Director Innovation Program	"undefined"
Adrien Bigler	HEIG-VD	none	"After having obtained my Bachelor's degree as a media engineer at the HEIG-VD, I worked for more than 5 years in the Media Engineering Institute as developer of iOS applications and websites. I am now a lead developer and project manager for this institute."
Janine Billadello	Baruch College CUNY	none	"undefined"
Leandro Biondo	Brazilian Forest Services	Environmental Analyst	"undefined"
Jesse Bishop	NBT Solutions	Senior GIS Analyst/Geospatial Wrecking Crew	"Jesse leads the Geospatial Wrecking Crew at NBT Solutions, a Spatial IT company based in Portland, Maine. He is the Geospatial Architect behind NBT’s multiple mapping applications built for clients, and for their flagship telecommunications infrastructure mapping platform, VETRO FiberMap.

Throughout his career, he has focused on using GIS, remote sensing, and computer programming to better understand spatial relationships in data. Jesse has also focused on teaching others how to collect, interpret, and present spatial data through K-12 student-teacher-scientist partnerships, teaching professional workshops, and helping build connections in the geospatial community."
David Bitner	Boundless Spatial	Senior Development Engineer	"undefined"
Stan Blaauw	San Jose Water Company	Web Developer	"undefined"
Mara Blake	University of Michigan	Spatial and Numeric Data Librarian	"Mara is the Data Services Manager at the Sheridan Libraries of Johns Hopkins University. Previously she served as a Spatial and Numeric Data Librarian at the University of Michigan and worked on the Big Ten Academic Alliance Geospatial Data Project."
David Blasby	Boundless	GeoGIG engineering lead	"undefined"
Niene Boeijen	Maptime Amsterdam	none	"undefined"
Andrew Bollinger	Development Seed	Developer and Data Analyst	"undefined"
Lorenzo Booth	University of California, Merced	none	"undefined"
Philipe Borba	Brazilian Army	none	"Cartographic Engineer graduated at the Military Institute of Engineering (Brazil) in 2012"
Nicola Bozon	ESRI France	none	"undefined"
Will Breikreutz	U.S. Army Corps of Engineers	none	"undefined"
Maria Brovelli	Politecnico di Milano	none	"undefined"
Myron Brown	The Johns Hopkins University Applied Physics Laboratory	Principal Engineer	"undefined"
Howard Butler	Hobu, Inc.	President	"Howard Butler is an open source software developer who leads the PDAL, Entwine, and Greyhound open source point cloud software projects. He is a GDAL and MapServer Project Steering Committee member, the maintainer of the Proj.4 coordinate system library, a former OSGeo board member, a contributing author to the IETF GeoJSON standard, and an active participant in the ASPRS LAS committee. His company, Hobu, Inc., develops open source solutions for clients such as the U.S. Army Corps of Engineers to manage and operate point cloud data warehousing systems. He still doesn't know how to merge CVS branches, and his pull requests usually contain gobs of cruft."
Will Cadell	Sparkgeo.com	CEO	"undefined"
Jerick Candido	St. Mary's College of Tagum, Inc.	Student	"undefined"
Benjamin Carter	Muhlenberg College	Assistant Professor of Anthropology	"undefined"
Jachym Cepicky	Melown Technologies	none	"GIS, Open Source, Python"
Antonio Cerciello	GeoCat	none	"undefined"
Brad Chambers	DigitalGlobe	none	"undefined"
Aashish Chaudhary	Kitware Inc.	Technical Leader	"undefined"
Robert Cheetham	Azavea	CEO	"Robert Cheetham is the founder and CEO of Azavea, a B Corporation that creates civic geospatial software for the web. Azavea’s open source projects include GeoTrellis, Raster Foundry, OpenTreeMap, DistrictBuilder, and other geospatial libraries and utilities.  Robert founded Azavea to advance the state-of-the-art in geospatial technology for civic and social impact. Prior to founding Azavea, he served as a software developer and GIS analyst for the University of Pennsylvania, the City of Philadelphia and the Philadelphia Police Department, and as a civil servant in Japan. He has an MLA in Landscape Architecture and Regional Planning from the University of Pennsylvania and a BA in Japanese Studies from the University of Michigan."
Joe Cheng	RStudio	Chief Technology Officer	"Joe Cheng is the CTO of RStudio, which he joined as the company's first employee in 2009. RStudio's mission is to build world-class tools and packages for R, a programming language with a strong tilt towards statistics, data analysis, and visualization. Joe is the author of several R packages, including the Shiny web application framework, the httpuv web server, and a Leaflet binding for R."
Jangwoo Cheon	University of Seoul	none	"undefined"
Rob Chohan	ePi Rational, Inc.	Chief Technology Officer	"Rob Chohan is the CTO of ePi Rational, a San Diego based company creating innovations in cartography, printing, and offline maps for iOS & Android.  The offline maps that ePi creates use technologies such as GDAL and Mapbox for offline raster data, and OpenMapTiles for offline vector data.  Rob has a background in statistics, image processing, mobile imaging, and printing and is focusing on ‘geo data wrangling’ to tell a story about a location."
Junyoung Choi	Korea Land and Housing corp.	none	"undefined"
Youngjae Chun	Hyundai MnSoft	Researcher	"undefined"
Anastasia Clark	Baruch College CUNY	none	"undefined"
Matthew Cloyd	OpenCounter	none	"Matt Cloyd is a geographer and civic technologist. Cloyd chairs the Inman Square Neighborhood Association in Cambridge, MA and was formerly an organizer at Code for Boston. He brings a critical lens to geography and coding, and is interested in the potential for new technologies, such as virtual reality, to create common vision and foster community consensus-building.  Cloyd is presently an Account Manager with OpenCounter, a civic startup that helps cities with zoning and business permitting."
John Cobb	USDA Forest Service	IT Specialist	"undefined"
Tamar Cohen	SGT, Inc / NASA Ames Research Center	none	"undefined"
Alex Cohn	University of Chicago	Director of Research Technology	"Alex is currently the Director of Research Technology at Chapin Hall at the University of Chicago, where he serves as co-chair of the GIS Users group. He's worked previously as Director of IT for the Institute for Public Health and Medicine at Northwestern University's Feinberg School of Medicine and as Privacy and Security Officer for the Chicago Health Information Technology Regional Extension Center. Alex holds a masters degree in computer information systems from Northwestern University and is currently a Certified Information Systems Security Professional."
Tina Cormier	TellusLabs	Remote Sensing Scientist	"Tina is a remote sensing scientist at TellusLabs, a local Boston startup, where she helps the team gain insights from satellite imagery to solve critical challenges facing our society. Tina has spent her career working at the crossroads of spatial analysis and machine learning, and she specializes in linking field-based measurements with remotely sensed optical, lidar, and radar products to model changes in the environment. She is also focused on sharing FOSS4G with others by teaching technical workshops all over the world and participating in the geospatial community at home."
Paolo Corti	Center for Geographic Analysis, Harvard University	Geospatial Engineer Fellow	"Paolo is an environmental engineer based in Cambridge, Massachusetts . He has 20 years of experience in the geospatial information field and currently he is a Geospatial Engineer Fellow at the Center for Geographic Analysis of the University of Harvard (http://gis.harvard.edu/). In the past he worked as a geospatial software architect, developer and analyst for organizations such as UN World Food Programme, EU Joint Research Centre, World Bank and the Italian Government.
He is an OSGeo Charter member, a core committer for the GeoNode project, and member of the pyCSW and GeoNode Project Steering Committees. He is co-author of the PostGIS Cookbook, and writes a blog on open source geospatial technologies at http://www.paolocorti.net"
Vasile Craciunescu	Romanian National Meteorological Administration	Researcher	"undefined"
Laurence Cramer	MapStory	none	"undefined"
James Cross	Ontario Ministry of Natural Resources and Forestry	Regional Analyst	"James has worked for the Ministry of Natural Resources and Forestry (MNRF) for twenty seven years. During this time, he has held a wide variety of positions, from Web Application Developer to Regional IT Services Coordinator, Database Specialist and Information Management Specialist.   James has three undergraduate degrees in Political Science (Carleton), Environment and Resource Studies with a GIS Specialization (Trent), and Education (Lakehead).  Supplemental to his degrees, he has majors in statistics, geography and English, and professional certifications as a Microsoft Certified Professional and Microsoft Certified Systems Administrator. During his time with MNRF, James has either developed or co-developed more than 50 resource management tools, including the Historic Climate Analysis Tool, Forest Management Plan Online Review Tool, Caribou Screening Tool and the Forest Information Submission Checker, to name a few.  Most recently, he has been involved in the development of both business processes and tool functions in support of Regional Operations Division’s forest information portal.   Beyond MNRF, James has served as the chair of the Northwestern Ontario Regional Science Fair, and as a Regional Director for Youth Science Canada."
Simone Dalmasso	European Commission - JRC	none	"Project officer at European Commission - JRC where is supervisor of the Copernicus Emergency Management Service.
GeoNode core developer since 2012."
Rafa de la Torre	CARTO	none	"Rafa de la Torre is a software engineer who's worked in small and big companies, like Motorola, building telecommunication soft switches, and Tuenti, the leading social network in Spain at the time.

He's been working at CARTO for almost 3 years, and devotes most of his time at work to open source projects: Postgres, PostGIS and CARTO's Dataservices API, among others. Outside work, he enjoys listening to good music and playing the piano and the bass guitar the best he can."
Christian Del Pino	Boundless	none	"Chris has been a DevOps Engineer at Boundless Spatial for the last three years. His career started off at Castrol as a Technical Analyst and then Cmed Technology as an Applications Engineer. His interests cover cloud computing and various open source technologies."
Martin Desruisseaux	Geomatys	none	"undefined"
Anusuriya Devaraju	CSIRO	Postdoctoral Research Fellow	"Anusuriya Devaraju is a postdoctoral fellow at CSIRO Mineral Resources, Australia. Prior joining the research organization, she was at the Institute for Bio- and Geosciences, Forschungszentrum Jülich, Germany and involved in the data integration and management of TERENO and TERENO-MED initiatives. Her research focuses on the management and discovery of research assets in Earth and Environmental Science."
Mike Dolbow	State of Minnesota	GIS Supervisor	"Mike Dolbow is currently a GIS Supervisor for MnGeo, where he provides leadership in spatial services for the State of Minnesota. He supervises a team of GIS staff who serve a variety of state agencies and Minnesota stakeholders, with a focus on the Minnesota Department of Health. He sometimes tweets at @mmdolbow."
Frank Donnelly	Baruch College CUNY	none	"undefined"
Peter Doucette	USGS	none	"Pete Doucette is currently the associate program coordinator for the USGS Land Remote Sensing Program (LRSP) in Reston, Virginia, which performs diverse administrative functions in support of remote sensing activities that include the Landsat Program (a joint NASA/USGS mission). Pete’s vision is to motivate effective use of big data science to advance our understanding of complex interconnected Earth processes that involve a plethora of heterogeneous data modeling inputs. Pete’s career in the geospatial information sciences since 1990 has encompassed a range of experiences across government, academia, and the private sector. He’s worked for organizations in support of DoD/IC, DOE, and DOI missions, which have included projects across areas of remotely sensed image analysis, machine learning/CV algorithm development, spatial statistics, GIScience, mod&sim of uncertainty propagation, photogrammetric image registration, and geospatial data conflation. His work has spanned a variety of sensing phenomenologies (optical, thermal, SAR, Lidar, hyperspectral, and acoustic), and across topographic and hydrographic domains. He has a BS (engineering physics), and a PhD (spatial information engineering) from UMaine, and a MS (geomatics engineering) from Purdue University."
Alison Drain	Boundless	none	"undefined"
Martin Dresen	geoSYS	none	"undefined"
Daniel Dufour	First Draft GIS	Founder and CEO	"Daniel Dufour is founder and CEO of First Draft GIS, an open-source artificial intelligence that makes the first drafts of maps for you.  He also co-founded geotiff.io, a website for in-browser viewing and manipulation of rasters.  He has worked for MapStory, American Red Cross and USDA.  He is also a graduate of University of California, Berkeley and Georgetown University."
Patrick Dufour	Spatial Current, Inc. 	none	"Patrick Dufour is Founder and CEO of Spatial Current, Inc.  Patrick is a data engineer, DevOps engineer, and humanitarian information specialist.  Patrick has 6 years of experience providing geospatial & imagery support for response to complex emergencies, including Ebola, Syria, the Nepal Earthquake, and more.  Patrick has been a core GeoNode developer and deployed geospatial infrastructure for organizations in support of a variety of missions.  He has a BAS in Computer Science and Political Science from UC Davis and a MA in International Politics from American University."
Emmanuel Duguey	AREVA Mines	Exploration geologist	"undefined"
Kim Durante	Stanford University	none	"undefined"
Chris Eichelberger	Commonwealth Computer Research, Inc.	none	"undefined"
Rob Emanuele	Azavea	none	"undefined"
Andy Eschbacher	CARTO	Map scientist	"undefined"
Saul Farber	PeopleGIS	Director of Technology	"undefined"
Igor Farkaš 	GIS Cloud	none	"Igor is a Business Development Manager, also responsible for GIS Cloud Partner Network. Igor’s proactivity and agility provided a frame for the business expansion and further development of the GIS Cloud platform."
Richard Fecher	DigitalGlobe	Senior Software Engineer	"Over the past 12 years, Rich Fecher has been solving the hard technical problems facing the U.S. Defense and Intelligence Communities.  Rich has extensive technical expertise ranging from visualization to cloud computing and has primarily focused his career around mapping and GIS software.  He has embraced open source technologies as a cost-effective means to provide cutting edge solutions.
Rich holds a B.S. in Computer Science with minors in Applied Math and Physics from the University of Virginia; he received his post-graduate certificate in GIS from Pennsylvania State University, and received an M.S. in Computer Science from George Mason University with a graduate certificate in computer game technologies."
Steven Feldman	KnowWhere Consulting	none	"Trained as an economist, I spent the first 20 years of my working life in building materials before stumbling upon GIS. A chance conversation led to me becoming General Manager of GDC and Head of Professional Services at whereonearth.com during the wackiest part of the dot com boom and bust.

In 2002 some colleagues and I bought out GDC with investment support from nearly all of the employees. MapInfo bought the business in 2007. After working for MapInfo for 18 months as UK MD and Director of Product and Industry Strategy, EMEA I branched out to look for the next big thing.

Through my consultancy KnowWhere, I work as a non-executive director, a strategic consultant and an investor, advisor and mentor to technology startups. I am currently chairman of geo.me, a Google Maps Partner and a strategic advisor to the board of Astun Technology, the UK's leading Open Source geobusiness and a member of the Advisory Board of OpenCage Data.

I was chairman of Exprodat Consulting which provides geo-services to the oil and gas industry until Jun 2016 when they were acquired by Getech plc. I was a Special Lecturer at the School of Geography at the University of Nottingham until the end of 2014, where I helped to start the OSM-GB project.

I am a Charter Member of the OSGeo Foundation and treasurer of the UK chapter. I was chair of the LOC for FOSS4G 2013 in Nottingham in September 2013 and deputy chair of FOSS4GUK in 2016.

When not working, I blog, twitter, talk about geography, technology, things open and politics and follow the Arsenal."
Gérald Fenoy	GeoLabs SARL	CEO	"undefined"
Daniel Fenton	esri	Software Engineer	"Software Engineer at Esri focused on data interoperability, search, and analytics."
Lene Fischer	University of Copenhagen	none	"undefined"
Kim Fisher	Wildlife Conservation Society	Spatial analyst and developer	"undefined"
Seth Fitzsimmons	Pacific Atlas	none	"undefined"
Patrick Florance	Tufts University	Director Geospatia Technology	"undefined"
Anthony Fox	CCRi	none	"undefined"
Mila Frerichs	Civic Vision	none	"undefined"
Stefan Funke	University of Stuttgart	Professor	"undefined"
Nitin Gadia	MapStory Foundation	Freelancer	"undefined"
Jody Garnett	Boundless	Community Lead	"undefined"
GeoLabs SARL 	none	none	"undefined"
Aniruddha Ghosh	University of California, Davis	Project Scientist	"undefined"
Simone Giannecchini	GeoSolutions SAS	Director	"undefined"
Javier  Goizuea	CARTO	none	"undefined"
Shawn Goulet	Cape Cod Commission	none	"Shawn is a Geospatial Developer at the Cape Cod Commission in Barnstable, MA, USA.  Shawn on a small team that develops web application tools, manages associated RDBMS and RESTful APIs that assist the municipalities of Barnstable County (a.k.a. Cape Cod) make land use planning-based decisions."
Florent Gravin	camptocamp	Technical Leader	"undefined"
Numa Gremling	geoSYS	GIS Developer	"undefined"
Manuel Grizonnet	CNES	none	"undefined"
Rachael Guenter	North Carolina State University	Undergraduate Student	"undefined"
Joseph Gutenson	U. S. Army Engineer Research and Development Center	Research Civil Engineer	"undefined"
Lee Hachadoorian	Temple University	none	"undefined"
Randal Hale	North River Geographic Systems, Inc	President	"undefined"
Michelle Hall	Science Education Solutions, Inc	President	"undefined"
Brian M. Hamlin	OSGeo California Chapter	none	"undefined"
Katrin Hannemann	geoSYS	none	"undefined"
Matthew Hanson	Development Seed	Geospatial Software Engineer	"undefined"
Roland Hansson	Nova Spatial	Developer	"Roland is a full stack developer with extensive experience in GIS, mapping and databases. He enjoys to tinker with technology and find new ways to work with geospatial information."
Darren Hardy	Stanford University	none	"undefined"
Brendan Harmon	NCSU	none	"undefined"
Björn Harrtell	Septima P/S	Senior developer	"undefined"
Sasha Hart	Boundless	none	"undefined"
Christa Hasenkopf	OpenAQ	CEO/Co-Founder	"Christa Hasenkopf, PhD, is co-founder of OpenAQ, a non-profit organization fighting air inequality by opening up air quality data and connecting a diverse global, grassroots community of individuals and organizations. Hasenkopf is an atmospheric scientist, passionate about fighting air pollution, especially in polluted but under-studied and under-monitored places. She has served as the first Chief Air Pollution Advisor to the Medical Director and as a Senior American Institute of Physics Fellow at the U.S. State Department. Prior to this position, she was an American Institute of Physics Fellow in the Global Development Lab at USAID. Previously, Hasenkopf conducted a research study on air pollution in Ulaanbaatar, Mongolia, where, she and Mongolian colleagues also launched the first air-quality instrument in Mongolia that shared data via social media. Hasenkopf received her PhD in atmospheric and oceanic sciences from the University of Colorado and her BS in astronomy and astrophysics from Penn State. She is a former Fulbright Fellow and corps member in Teach For America."
Alexander Herzig	Manaaki Whenua - Landcare Research New Zealand Ltd	Geospatial Modeller	"Alex is a Geoinformation Science expert seeking to exploit computer science methods and technology for environmental science applications. His specialty is the development and application of geospatial models for simulating and assessing landscape processes. He has experience in land-use modelling, spatial optimisation, integrated modelling, and soil erosion modelling. Alex develops the modelling framework LUMASS and contributed to the development of the open source array database rasdaman."
Stephen Hess	none	none	"Stephen has worked in the geocoding space for over 10 years in both Node.js and Java with a passion for geo trivia and edge cases.  That and unit testing consumes most of his waking thoughts."
Andreas Hocevar	Boundless Geo	none	"undefined"
Tomas Holderness	Massachusetts Institute of Technology	Research Scientist	"Tomas is a Research Scientist at the MIT Urban Risk Lab where he is co-director of PetaBencana.id - an applied research project to crowd-source flood response in Indonesia. Tomas holds a Bachelors of Geographic Information Science and a PhD in Geomatics from Newcastle University. Tomas is professionally accredited as a Chartered Geographer by the Royal Geographical Society."
Michelle Ho	CARTO	Data Scientist	"undefined"
Jörg Höttges	FH Aachen	Professor hydrology and informatic	"undefined"
Leo Hsu	Paragon Corporation	none	"undefined"
Marco Hugentobler	Sourcepole	none	"undefined"
Rachael Hwang	AGI | UPenn	none	"undefined"
Martin Icking	Bentley	none	"Born 1962
PhD in Chemical Engineering (Dynamic analysis of district heating systems)
In GIS industry since 1994 - starting with GIS for Utilities
With Bentley since 2006 - responsible for GIS components in Bentley's asset management suite of products"
Brian Jacobs	National Geographic	Senior Graphics Editor	"Brian T. Jacobs is a Senior Graphics Editor who designs and develops interactive maps and graphics for National Geographic Magazine. Brian uses visualization and data processing tools to create and envision custom editorial experiences for the web and beyond."
Marc Jansen	terrestris GmbH & Co. KG	Head of development	"undefined"
Harald Jansson	Norwegian Broadcasting Corporation	none	"undefined"
Hyemi Jeong	Pusan National University	none	"undefined"
Jeffrey Johnson	Terranodo	none	"undefined"
Dan Joseph	American Red Cross	GIS Officer	"At the American Red Cross, Dan supports international disaster response as well as long term recovery and resilience programs. Specializing in tools to improve data management and program implementation, he builds everything from websites featuring interactive analytic tools to forms for mobile data collection. Prior to the Red Cross Dan was a Peace Corps volunteer working with a rural, municipal government in the Philippines on environmental and planning projects."
Devika Kakkar	Harvard University, Center for Geographic Analysis	none	"undefined"
Pirmin Kalberer	Sourcepole AG	none	"Pirmin is a longtime Open Source developer and Geospatial community member. He co-founded Sourcepole, a Swiss based company providing commercial development and support for QGIS and other Open Source products.
Committer to QGIS, GDAL, mapfish and project owner of t-rex, several QGIS plugins, Mapfish Appserver and others."
Lauren Kennedy	MIT	Student	"undefined"
Derek Kern	Ubisense, Inc	Principal Architect	"I am a software engineer and systems architect at Ubisense, Inc. I have been involved in the geospatial community for 20 years. My focus of late has been on architectural and deployment approaches for our geospatial platform and employee skills development. In my free time, I enjoy hiking, reading, snowboarding and going to Rockies games with my family."
Melinda Kernik	University of Minnesota	none	"undefined"
Kyoung-Sook Kim	AIST	Senior Researcher	"I am a senior researcher of the Artificial Intelligence Cloud Research Team at the Artificial Intelligence Research Center (AIRC) of AIST in Japan. I received my B.S., M.S., and Ph.D. Degrees in Computer Science from Pusan National University in Korea in 1998, 2001, and 2007, respectively. I am currently serving as a co-chair of OGC Moving Features Standard Working Group."
Wansub Kim	Singapore ETH Centre	none	"undefined"
Jim Klassen	SharedGeo	none	"undefined"
Sam Knight	Blue Marble Geographics	none	"undefined"
Mark Korver	Amazon Web Services	Geospatial Lead - Solution Architecture	"Mark Korver is the Geospatial Lead on the Specialist Team at AWS, and is based in Seattle. He has ten years of experience building Cloud solutions both as a customer and employee of AWS. By virtue of his experience in software development and academic training in innovation theory, Mark is often asked to brief visiting customer executives on Amazon’s Culture of Innovation. Before becoming the Geospatial Lead at AWS, Mark was the first Solution Architect on the State Local Government and Education team. During the formative years of AWS, Mark served customers across the US, supporting projects at universities such as MIT, University of Washington, Berkeley and Stanford and working with public customers such as the Seattle Police Department and King County, WA. Prior to Amazon, Mark was CTO/Founder at SpatialCloud LLC, a geo-services startup running on AWS, an early adopter of EC2 Spot and S3. Before that, Mark founded and spent 10 years building Alchemedia Inc. a boutique software development firm based in Tokyo. At Alchemedia he helped create a business with core strengths in commercial mortgage loan management systems and delivered geo-enabled applications to customers including Kajima Corp., Autodesk Japan, Minato City Government (Tokyo), NTT group, Lehman Brothers, Misawa Homes, Hitachi, Japan Space Imaging, Zenrin, Shimizu Corp, and the University of Tokyo. Mark holds a Master in City Planning from MIT with a specialization in Technology Transfer as it applies to international development projects and is a native speaker of Japanese."
Christopher Kotfila	Kitware Inc	R&D Engineer	"undefined"
Benjamin Krepp	Central Transportation Planning Staff, Boston Region MPO	GIS Manager	"Ben Krepp is a GIS developer and analyst at the Central Transportation Planning Staff (CTPS) in Boston. He has championed the use of open-source tools and technologies for more than two decades. At CTPS, he spearheaded the agency's adoption of GeoServer, OpenLayers,  PostgreSQL and other FOSS tools. Ben lead the team at Hewlett-Packard that replaced three proprietary debuggers with GDB, significantly lowering engineering costs and dramatically improving customer satisfaction."
Felix Kunde	Beuth University of Applied Sciences	Research Assistant	"undefined"
Thomas Kunicki	Commonwealth Computer Research, Inc.	none	"undefined"
Jaak Laineste	CARTO	none	"undefined"
Caroline Lallemand	Reuniwatt	GIS engineer	"I live in Reunion island (Fr). I joined Reuniwatt company 3 years ago after my studies in Bordeaux (Fr) as a GIS engineer and data manager."
Matthew Lammers	KBRwyle/NASA	Senior Science Data Visualization Analyst/Software Engineer	"A former ski bum with an undergraduate degree in History and a Master's in Atmospheric Science, Matthew formerly worked at MesoWest, building APIs and aggregating surface weather observations. Upon moving to Washington, D.C., he got a job working for NASA as a web developer, serving up precipitation satellite data to the masses and building interactive visualizations that enhance the way researchers preview scans."
Steven Lander	RGi	Software Engineer	"undefined"
Joey Lee	moovel lab	none	"undefined"
Ben Lewis	CGA, Harvard University	none	"undefined"
Sean Lilley	Analytical Graphics Inc (Cesium)	3D Software Developer	"Sean focuses on making Cesium’s graphics engine fast, accurate, and visually appealing. As the 3D technical lead for the Cesium team, he oversees all development work from the core rendering engine to 3D Tiles to glTF implementation."
